Column1,Column2,列1
0.9078201,コンビニで売ってくれるのはありがたい味噌ラーメン普段食べんけどhikakinさんのラーメン食べてみたいと思いましたこれからもずっと応援しますがんばってください,
0.9077809,東京の店舗だと地方民は食べに行くの大変だけどセブンだったら全国のみんなが気軽に食べられるし0時間いつでも買いに行けるからすごくありがたいですあー早く食べたい,
0.9075819,hikakinさんってなんでこんなに私利私欲みたいなのを感じないんだろうみんなを笑顔にしたいっていう思いですごくすごくこだわって作ったのが伝わってきてなんか泣きそうになっちゃった,
0.9075183,これ見たらヒカキンがどれだけラーメンを愛し夢に本気だったか分かる素直におめでとう,
0.9074173,自分の夢を叶えるhikakinさんスゲーやラーメンの中でも特に味噌が好きだから味にも期待しちゃう飯系の報告と知らず深夜に見たらガッツリ飯テロで腹減った,
0.90717465,視聴者が体感しやすい食品への事業展開してくれてほんと嬉しい,
0.90689445,僕の夢は記憶がある時に東京に行く事でしたヒカキンと共に夢を叶えられて嬉しいです,
0.9067717,同じラーメン好きとしてここまでやるhikakinさんを尊敬するラーメンうまいよね,
0.9062812,私もラーメンが大好きでとても共感できました,
0.9061962,辛いのが苦手な人にも配慮して幅広い層に食べれるようにしてるところが良いですねo,
0.9060875,いくら企画とはいえしっかり色々と研究して自分なりのラーメン作ってるのがすごい尊敬するわ,
0.9057464,キタ━━━━゚゚━━━━やっぱりヒカキンさんが0番だよねどんなご報告なのか気になるけどファンの皆さんには喜んでいただけるって言ってたから楽しみだなぁ,
0.90547067,何度も繰り返し観ています観ているだけで気持ちが幸せになるhikakinさんありがとう,
0.9052133,心からおめでとうを言いたいですほんとに自分の夢を次から次へと叶えていて憧れでしかないです僕も頑張ります,
0.90520656,〇〇店舗限定とか〇〇期間限定発売とかじゃなくて皆に味わって欲しいって言う思いで全国に出してくれたのマジで嬉しい後単純に自分ラーメン好きだから絶対買う,
0.9048583,あのhikakinさんがここまで上り詰めたのはこのラーメンのおかげでもあるのはすごすぎるそしてそのラーメンを作ったのももっとすごいし感動しました,
0.9047389,長年の努力が色んなところで反映されてるところが本当にすごいと思う,
0.9044889,0年もかけて研究されたラーメンを0円で味わえるってめっちゃお得だなぁ,
0.90442806,ヒカキンのやっていくことが凄すぎて距離を感じるはずなのにすぐそばにいる感じがめっちゃ好き,
0.9044217,まっすぐで真剣で真摯でやっぱりヒカキン大好きヒカキンの夢が叶って嬉しいラーメンもカップメシも食べるの楽しみ,
0.9044159,私も同郷なのであのミサのガツンと感のある味噌ラーメンは脳に刻まれてます笑おめでとうございます楽しみにしています♪,
0.90424854,俺的に一番好きなのが味噌ラーメンだからとんこつとか醤油とか王道のやついかずに味噌をチョイスしてくれたのがとても嬉しい,
0.9042353,hikakinさんの作るご飯食べてみたかったんですめちゃくちゃ嬉しいですhikakinさんの夢が叶って良かったです,
0.90421337,夢が叶って嬉しそうなヒカキンを見てるだけでこっちは嬉しいよよかったねーラーメンもご飯も絶対買う,
0.90416783,ヒカキンさんありがとう一般庶民が手を出せる商品を作ってくださってこれで高級なものだったら買えませんでした,
0.90394086,ヒカキンさんのガチファンだから泣くくらい嬉しい一生買う,
0.9039211,ヒカキンは今回夢を叶えたけどヒカキン自身もまた色んな人の夢になってるんだよね素敵な世界だ,
0.9038935,これは絶対買って食べますラーメンは本当に食べると幸せになりますよね,
0.9037616,ラーメンもカップ飯も絶対食ベますhikakinさんの思いがつまったラーメン絶対美味しそう,
0.90369904,好きなことで生きていく報告前は視聴者の心を昂らせ報告後は自分の夢を叶えることで視聴者を喜ばせるやっぱhikakinさんは本物のyoutuberだ,
0.9033159,夢を叶えるヒカキンが僕は大好きです,
0.9031284,多分激辛が出ることを私は知っています,
0.90299296,hikakinさんのこれまでの歴史と努力の結晶が詰まっててすごい体調も崩さないくらいに頑張ってくださいω,
0.9029642,ラーメンの味で味噌が0番好きだからめっちゃ嬉しいしかも安い買うしかないなヒカキンさんありがとうそしておめでとう,
0.9028489,ここまで何度も何度も試食を繰り返し人生を支えてくれたラーメンをヒカキンさんや他の方々との協力でやっと出来たラーメン情熱努力いかに本気であったかが伝わる,
0.9028162,自分の好きな料理を自分が手を加えて商品として出せるのって本当に凄いことだよなぁ,
0.9026653,このラーメンを同じように元気が無い時腹ペコの時ヒカキンさんの話を思い出しながら食べたいと思いますインフルエンサーの方で夢を叶えたと聞いてこんなに本当に良かったここまで長い道のり努力と信念つらぬいたんだなって感動したのは初めてかもです,
0.9026002,アレルギーの関係で小麦がたくさん食べれないのでメシ版が凄く嬉しい味噌大好きです絶対食べます,
0.90244704,これが全国のセブンイレブンに並ぶのはこちらとしてもすごく嬉しい,
