Column1,Column2
11,ラーメンに対する想いだったり幼少期からの思い出の味噌ラーメンのことも知れて感動で涙が出ました絶対買います
11,本当に努力してきたのが伝わりましたラーメン絶対買う
11,0年がかりでの商品化は気合いが入ってますね食堂ミサの味噌ラーメンが原点の味ということで私もミサの味噌ラーメンは大好きなので味には期待できます早く食べてみたい
11,ヒカキンさんの育った地域にはニューミサもあったし味噌ラーメンは0番身近なものだったんだと思うな
11,ラーメン大好きだから嬉しい絶対買います
11,密着映像見てすごくこだわったのが伝わってきてラーメンの中で味噌ラーメンはあまり食べないけど食べてみたいと思った
11,夢が埋まってる鉱山をみんな掘っててでもいつ発掘できるかわかんないから途中で諦めたり投げ出したりするけど踏ん張った先には自分自身を支えてくれた夢に辿り着けるって思えましたhikakinさん夢実現おめでとうございます
11,こんなに楽しみな発表なかなかないから嬉しい絶対食べますこの勢いでラーメン屋さんも作ってください
11,hikakinさんのお陰で夢って叶うんだなーって本気で思った何かが好きなだけでこんなに頑張れるんだねまじで勇気というか希望というか貰った気がするやっぱりyoutuberの中で0番尊敬してるし0番大好きだなー•ᴗ•
11,ほんとに自分のことみたいにうれしいそしてヒカキンさんが忙しいなかでいろんな人にハート押してるのがほんとに感動するやっぱり皆のこと第一に考えて行動していけるからみんながついてきて超人気のyoutuberになれたと思うしこうやって夢を叶えられたんだと思うこれからもこの人についていこうと改めて思ったほんとにすごい
11,夢を叶えるってなかなかできないことそれをこんなんでとか言ってる奴なんか気にすんなというか本人は全然気にしてないと思うけど
11,0年間かけたラーメン絶対買いに行きます楽しみです
11,これ絶対買って食べるラーメン大好き
11,hikakinさんが作ったからとかいう補正は一切抜きにしてラーメンとして美味しそう
11,勝手に報告だとばかり思ってたから予想外すぎたけどヒカキンさんのyoutuberとしての夢とは別の夢が叶って本当に嬉しい
11,自分の好きな物を形にしてこだわって作るのってすげ〜よ本当にかっこいいよ発売されたら買う食べたいもんいや〜尊敬
11,hikakinさんにほんとに元気貰ってますし尊敬してます00❛ᴗ❛00ヶ月入院してて大変ですが退院したら絶対食べますψч☆
11,味噌ラーメン大好きだし大好きなhikakinが作ったラーメンなのが最高
11,是非食べてみたいヒカキンさんをずっと支えていたラーメンこだわり抜いた一杯を食べて元気を貰えるといいなぁ
11,hikakinさんが美味しく食べてるのを見ると発売が待ち遠しいし早く食べてみたいー
11,自分の夢を叶えるhikakinさんスゲーやラーメンの中でも特に味噌が好きだから味にも期待しちゃう飯系の報告と知らず深夜に見たらガッツリ飯テロで腹減った
11,hikakinさんの一生懸命作ったラーメン食べてみたい ́
11,半年後とかにスプラトゥーンのフェスで味噌ラーメン派対味噌メシ派の戦いあると思ってだけど今のスプラトゥーンフェスの選択肢三択なの萎える
11,わぁー夜中に再生してラーメンクッソ食べたくなったー発売したら買います0月0日楽しみ
11,このラーメン食べるために一日頑張れる日が自分にもあるんだろうなと思うと嬉しいどうにか生きてる自分でもギリカップ麺に出せる値段で嬉しい
11,おめでとうございます絶対に買って食べたいと思います本当に美味しそう急上昇ランキング0位素晴らしいです
11,自分の誕生日にヒカキンのラーメンが発売とは最高のプレゼント楽しみにしてます
11,なんかhikakinさんはyoutuberで成功してるからとかそういう妬み全くない努力が実った人だなぁって見れる
11,絶対買うこんなの買わないわけ無いじゃないですかまずヒカキンさんの作ったラーメンってとこで買わないわけ無い
11,hikakinずっと大好きだから絶対食べます
11,hikakinさん大好きラーメンたべたいな
11,ヒカキンさんおめでとうございますいつもみていますずっとみていますお体大切に永遠に0番星で輝いていて下さいラーメン必死で買いに行きますね
11,hikakinさんは神なんなら仏の域にまで達してるただ普通に頑張っただけじゃあんまり夢って叶えられる物じゃないと思うからhikakinさんはものすごい努力の上にこの夢を実現してるんだと思う
10,再生回数見て思ったけど今でもみんなの関心を惹き付けてる事が凄いちゃんとみんなhikakinの事気になってるんだね
10,ラーメンなら豚骨以外断固拒否の自分だけどなぜかこれは食べてみたいと思った
10,映像で作ってる普通のラーメンが食べたい
10,いくら企画とはいえしっかり色々と研究して自分なりのラーメン作ってるのがすごい尊敬するわ
10,ラーメンとかtシャツとか誰でも買える値段にしたとこに好感もてる
10,夢を叶えるためにyoutube活動で忙しい中でもこだわり抜いて商品開発をしてたというヒカキンさんの裏側を見てると本当に勇気を貰える
10,ラーメンばばあのときを思い出す本当にラーメンが好きというのが伝わります
10,好きな事を趣味として生きていくの本当に尊敬してる
10,俺的に一番好きなのが味噌ラーメンだからとんこつとか醤油とか王道のやついかずに味噌をチョイスしてくれたのがとても嬉しい
10,ラーメンの中では味噌が0番好きだから地元でも売られるようになったら絶対買う
10,出来ることなら毎日食べたいくらい同じくラーメンが好きなので必ず買って食べます
10,本当に尊敬する自分もヒカキンさんみたいな素晴らしい人間になるために色んなこと一生懸命頑張りたいです
10,味噌ラーメン好きだから食べてみたい ́
10,マジですげぇわ休んでも休まなくて準備して一刻でも早くみんなに知らせれるよう努力してるとことか本当に美味しそうなのが伝わってるくる
10,長年の努力が色んなところで反映されてるところが本当にすごいと思う
10,内容ちゃんと見る前はラーメンとカップめしならラーメンがいいかなって思ってたけどこのカップめしめちゃくちゃ美味しそうやな発売日に買いに行こう笑
10,こんな休みのない多忙の中でラーメンの商品作りも進めてたの凄すぎでしょ絶対食べます
10,自分の好きなことしたいとか好きなもん作りたいとかは誰でも思うしお金とかがあればできるでもここまでしっかり自分で考えて色々試してみて0年掛けて自分が作りたかったもんを実現出来るってのは大変なんてもんやない自分のすることに熱意持ってとことんやっとるからみんなから人気になったんやと思う誰がどう言おうと俺は尊敬するな
10,めちゃくちゃ楽しみワクワクだねー絶対食べたい買いに走るよー
10,さすがしか言えないなこれはもうなんて言うかホントにヒカキンさんはすごい俺は思うよもう拍手しかできないなもう最高絶対に買う
10,夢を叶えるって本当にすごいことだよね自分がずっとやりたかったことをできたヒカキンを心から尊敬するわ
10,しょうゆラーメンが美味しすぎて味噌ラーメン食べたことないのに凄く美味しそうこれは買いだな
10,本当に楽しみです絶対食べます
10,本当に努力してみんなを明るく元気にさせるラーメンにしたいっていう気持ちがすごい伝わった
